Palabra, veces usada, porcentaje
piñatas,1,0.107875%
planes,1,0.107875%
plantas,1,0.107875%
platos,1,0.107875%
Pobre,1,0.107875%
podemos,2,0.215750%
Poloster,1,0.107875%
pones,1,0.107875%
por,4,0.431499%
Porque,1,0.107875%
portería,1,0.107875%
Prefiero,1,0.107875%
prensa,1,0.107875%
presente,1,0.107875%
Profética,1,0.107875%
promesa,1,0.107875%
pueda,1,0.107875%
puntería,1,0.107875%
pusiste,1,0.107875%
que,61,6.580367%
quería,3,0.323625%
quiero,4,0.431499%
quita,1,0.107875%
Qué,2,0.215750%
quédate,2,0.215750%
rampas,1,0.107875%
Rastas,1,0.107875%
recuerdo,1,0.107875%
refresco,1,0.107875%
regalo,1,0.107875%
regalé,1,0.107875%
regresan,1,0.107875%
resaca,1,0.107875%
retratos,1,0.107875%
riñas,1,0.107875%
Rocco,1,0.107875%
rociabas,1,0.107875%
ropa,1,0.107875%
Sabiendo,1,0.107875%
Sabina,1,0.107875%
saca,1,0.107875%
sala,1,0.107875%
se,18,1.941748%
secu,1,0.107875%
ser,3,0.323625%
si,2,0.215750%
siempre,2,0.215750%
siento,1,0.107875%
sigas,1,0.107875%
sigue,5,0.539374%
sigues,1,0.107875%
sillón,1,0.107875%
sin,1,0.107875%
Sol,1,0.107875%
sombrero,1,0.107875%
somo,1,0.107875%
son,2,0.215750%
sorpresa,1,0.107875%
soy,2,0.215750%
stickers,1,0.107875%
suéter,1,0.107875%
sé,1,0.107875%
Ta,1,0.107875%
Tabaco,1,0.107875%
tablas,1,0.107875%
también,1,0.107875%
tan,1,0.107875%
tanto,1,0.107875%
taxi,1,0.107875%
tazas,1,0.107875%
tazos,1,0.107875%
te,20,2.157497%
tengo,2,0.215750%
tenía,1,0.107875%
terminé,1,0.107875%
terraza,1,0.107875%
ti,1,0.107875%
tiempo,2,0.215750%
tiempos,1,0.107875%
tiendita,1,0.107875%
todo,6,0.647249%
Total,1,0.107875%
tripeo,1,0.107875%
tu,16,1.725998%
tus,11,1.186624%
Tú,7,0.755124%
un,4,0.431499%
una,3,0.323625%
uñas,1,0.107875%
Va,2,0.215750%
vas,3,0.323625%
veces,2,0.215750%
veme,1,0.107875%
ver,3,0.323625%
vestir,1,0.107875%
vez,2,0.215750%
vida,7,0.755124%
viene,1,0.107875%
vimos,1,0.107875%
visitaba,1,0.107875%
viviendo,1,0.107875%
vivimos,1,0.107875%
voy,3,0.323625%
voz,1,0.107875%
vuelve,1,0.107875%
whisky,1,0.107875%
Y,27,2.912621%
ya,12,1.294498%
yendo,1,0.107875%
Yo,12,1.294498%
zapato,1,0.107875%
�que,1,0.107875%
Total de palabras unicas usadas: 379
Total de palabras (repetidas): 927
Porcentaje de vocabulario distinto: 40.884575
